posteam,off_epa_mean,off_epa_sum,plays,success_rate,def_epa_allowed_mean,def_epa_allowed_sum,def_success_allowed,season,is_playoff
BAL,0.0215,2.6847,125,0.432,-0.0624,-7.8036,0.392,2023,True
BUF,0.1663,23.9443,144,0.5347,0.0407,4.5193,0.4685,2023,True
CLE,-0.3146,-22.3395,71,0.3803,0.2905,12.4927,0.3953,2023,True
DAL,0.0768,7.2985,95,0.5789,0.4537,24.9533,0.5273,2023,True
DET,0.1557,30.207,194,0.5155,0.1777,33.0494,0.4677,2023,True
GB,0.2457,29.7307,121,0.4876,0.1131,17.7575,0.535,2023,True
HOU,0.0247,2.2501,91,0.3516,-0.0614,-8.5371,0.4173,2023,True
KC,0.0706,19.8468,281,0.4413,-0.0508,-13.7285,0.4444,2023,True
LA,0.2701,15.6661,58,0.4655,0.1698,9.0006,0.4906,2023,True
MIA,-0.2307,-14.0749,61,0.3115,0.0915,7.2247,0.3797,2023,True
PHI,-0.1602,-9.4498,59,0.2881,0.1573,11.0141,0.4714,2023,True
PIT,-0.1097,-7.1293,65,0.4154,0.1936,12.7753,0.4848,2023,True
SF,0.124,24.7962,200,0.46,0.058,12.579,0.4654,2023,True
TB,0.1071,14.3555,134,0.4701,0.0194,2.4895,0.4297,2023,True
